"name","Alma_mater"
"Arthur Lewis (economist)","London School of Economics"
"Robert Hofstadter","Princeton University"
"Robert Hofstadter","City College of New York"
"Norman Foster Ramsey Jr.","Columbia University"
"Norman Foster Ramsey Jr.","University of Cambridge"
"Frederick Chapman Robbins","Harvard University"
"Frederick Chapman Robbins","University of Missouri"
"Herbert A. Simon","University of Chicago"
"Vitaly Ginzburg","Moscow State University"
"Francis Crick","Northampton School for Boys"
"Francis Crick","Gonville and Caius College Cambridge"
"Francis Crick","University College London"
"Francis Crick","Churchill College Cambridge"
"Francis Crick","Mill Hill School"
"Maurice Wilkins","St John's College Cambridge"
"Christian B. Anfinsen","Harvard Medical School"
"Christian B. Anfinsen","University of Pennsylvania"
"Christian B. Anfinsen","Swarthmore College"
"Rodney Robert Porter","University of Liverpool"
"Rodney Robert Porter","University of Cambridge"
"Herbert A. Hauptman","University of Maryland College Park"
"James Rainwater","California Institute of Technology"
"James Rainwater","Columbia University"
"John Cornforth","University of Sydney"
"John Cornforth","St Catherine's College Oxford"
"John Fenn (chemist)","Berea College"
"John Fenn (chemist)","Yale University"
"John Kendrew","University of Cambridge"
"Andrew Huxley","Trinity College Cambridge"
"Leonid Hurwicz","University of Warsaw"
"Leonid Hurwicz","Graduate Institute of International and Development Studies"
"Leonid Hurwicz","London School of Economics"
"Ilya Prigogine","Université libre de Bruxelles"
"Christian de Duve","Catholic University of Leuven (1834–1968)"
"William Standish Knowles","Columbia University"
"William Standish Knowles","Harvard University"
"Ernst Otto Fischer","Technische Universität München"
"Paul D. Boyer","Brigham Young University"
"Paul D. Boyer","University of Wisconsin–Madison"
"Derek Barton","Imperial College London"
"James Tobin","Harvard University"
"Edward B. Lewis","California Institute of Technology"
"Edwin G. Krebs","Washington University in St. Louis"
"Edwin G. Krebs","University of Illinois at Urbana–Champaign"
"Kai Siegbahn","Stockholm University"
"Arthur Kornberg","University of Rochester"
"Aleksandr Solzhenitsyn","Southern Federal University"
"Richard Feynman","Massachusetts Institute of Technology"
"Richard Feynman","Princeton University"
"Gertrude B. Elion","Hunter College"
"Jerome Karle","Harvard University"
"Jerome Karle","University of Michigan"
"Jerome Karle","City College of New York"
"Donald J. Cram","University of Nebraska–Lincoln"
"Donald J. Cram","Rollins College"
"Donald J. Cram","Harvard University"
"James M. Buchanan","Middle Tennessee State University"
"James M. Buchanan","University of Chicago"
"James M. Buchanan","University of Tennessee"
"Joseph Murray","Harvard Medical School"
"Joseph Murray","College of the Holy Cross"
"William Lipscomb","California Institute of Technology"
"William Lipscomb","University of Kentucky"
"Peter D. Mitchell","University of Edinburgh"
"Peter D. Mitchell","Jesus College Cambridge"
"Peter D. Mitchell","University of Cambridge"
"Lawrence Klein","Massachusetts Institute of Technology"
"Lawrence Klein","University of California Berkeley"
"Douglass North","University of California Berkeley"
"E. Donnall Thomas","Harvard Medical School"
"E. Donnall Thomas","University of Texas at Austin"
"John Harsanyi","Stanford University"
"John Harsanyi","Eötvös Loránd University"
"John Harsanyi","University of Sydney"
"John Harsanyi","University of Lyon"
"Baruj Benacerraf","Columbia University"
"Baruj Benacerraf","VCU Medical Center"
"Owen Chamberlain","Dartmouth College"
"Owen Chamberlain","University of California Berkeley"
"Owen Chamberlain","University of Chicago"
"George Porter","University of Leeds"
"François Jacob","University of Paris"
"Nicolaas Bloembergen","Utrecht University"
"Nicolaas Bloembergen","Leiden University"
"Thomas Schelling","Harvard University"
"Thomas Schelling","University of California Berkeley"
"Thomas Schelling","Yale University"
"Yoichiro Nambu","University of Tokyo"
"Gérard Debreu","University of California Berkeley"
"Geoffrey Wilkinson","Imperial College London"
"Rosalyn Sussman Yalow","Hunter College"
"Rosalyn Sussman Yalow","University of Illinois at Urbana–Champaign"
